age,sex,year,pop
0,Male,1960,152200
0,Male,1970,118335
0,Male,1980,96694
0,Male,1990,116014
0,Male,2000,116756
0,Male,2010,98890
0,Male,2020,93388
0,Female,1960,144800
0,Female,1970,111830
0,Female,1980,89146
0,Female,1990,108035
0,Female,2000,108949
0,Female,2010,95542
0,Female,2020,89688
5,Male,1960,128400
5,Male,1970,140633
5,Male,1980,112015
5,Male,1990,106723
5,Male,2000,132200
5,Male,2010,110215
5,Male,2020,101729
5,Female,1960,121900
5,Female,1970,133364
5,Female,1980,104615
5,Female,1990,98905
5,Female,2000,124374
5,Female,2010,105460
5,Female,2020,97008
10,Male,1960,103000
10,Male,1970,145785
10,Male,1980,116841
10,Male,1990,102654
10,Male,2000,121639
10,Male,2010,125271
10,Male,2020,104967
10,Female,1960,97300
10,Female,1970,137842
10,Female,1980,111305
10,Female,1990,95822
10,Female,2000,113713
10,Female,2010,119031
10,Female,2020,101426
15,Male,1960,65300
15,Male,1970,123436
15,Male,1980,139250
15,Male,1990,115214
15,Male,2000,109002
15,Male,2010,134003
15,Male,2020,109868
15,Female,1960,59400
15,Female,1970,117246
15,Female,1980,131286
15,Female,1990,108091
15,Female,2000,102284
15,Female,2010,129747
15,Female,2020,105366
20,Male,1960,71100
20,Male,1970,98494
20,Male,1980,139868
20,Male,1990,121601
20,Male,2000,106249
20,Male,2010,123942
20,Male,2020,124617
20,Female,1960,68400
20,Female,1970,95480
20,Female,1980,132310
20,Female,1990,117386
20,Female,2000,105987
20,Female,2010,123248
20,Female,2020,119920
25,Male,1960,60200
25,Male,1970,62779
25,Male,1980,118027
25,Male,1990,147751
25,Male,2000,129285
25,Male,2010,131299
25,Male,2020,142382
25,Female,1960,56000
25,Female,1970,61808
25,Female,1980,114768
25,Female,1990,143189
25,Female,2000,137876
25,Female,2010,141340
25,Female,2020,144615
30,Male,1960,57900
30,Male,1970,65246
30,Male,1980,97817
30,Male,1990,152133
30,Male,2000,141827
30,Male,2010,143048
30,Male,2020,143022
30,Female,1960,48700
30,Female,1970,64884
30,Female,1980,96433
30,Female,1990,146190
30,Female,2000,148463
30,Female,2010,155639
30,Female,2020,154776
35,Male,1960,48000
35,Male,1970,56208
35,Male,1980,62317
35,Male,1990,130423
35,Male,2000,162037
35,Male,2010,156318
35,Male,2020,141357
35,Female,1960,38400
35,Female,1970,52836
35,Female,1980,62379
35,Female,1990,125570
35,Female,2000,160584
35,Female,2010,163706
35,Female,2020,158158
40,Male,1960,44700
40,Male,1970,52224
40,Male,1980,62133
40,Male,1990,104452
40,Male,2000,157640
40,Male,2010,152995
40,Male,2020,142801
40,Female,1960,35800
40,Female,1970,45751
40,Female,1980,61956
40,Female,1990,101611
40,Female,2000,154780
40,Female,2010,156446
40,Female,2020,156490
45,Male,1960,41900
45,Male,1970,42788
45,Male,1980,52117
45,Male,1990,64792
45,Male,2000,132445
45,Male,2010,163237
45,Male,2020,151690
45,Female,1960,32500
45,Female,1970,36777
45,Female,1980,50845
45,Female,1990,63647
45,Female,2000,129756
45,Female,2010,160222
45,Female,2020,160050
50,Male,1960,33000
50,Male,1970,36856
50,Male,1980,46536
50,Male,1990,59522
50,Male,2000,103766
50,Male,2010,152721
50,Male,2020,145383
50,Female,1960,26600
50,Female,1970,32819
50,Female,1980,43638
50,Female,1990,58570
50,Female,2000,102891
50,Female,2010,150323
50,Female,2020,150685
55,Male,1960,24600
55,Male,1970,33373
55,Male,1980,35806
55,Male,1990,49910
55,Male,2000,61934
55,Male,2010,124822
55,Male,2020,152960
55,Female,1960,20100
55,Female,1970,30662
55,Female,1980,33641
55,Female,1990,50192
55,Female,2000,63127
55,Female,2010,123874
55,Female,2020,152870
60,Male,1960,14500
60,Male,1970,24587
60,Male,1980,29162
60,Male,1990,41095
60,Male,2000,54023
60,Male,2010,94796
60,Male,2020,141471
60,Female,1960,14200
60,Female,1970,23375
60,Female,1980,29287
60,Female,1990,41926
60,Female,2000,56480
60,Female,2010,97199
60,Female,2020,143155
65,Male,1960,8300
65,Male,1970,16237
65,Male,1980,23377
65,Male,1990,29391
65,Male,2000,42153
65,Male,2010,53321
65,Male,2020,112609
65,Female,1960,10100
65,Female,1970,16658
65,Female,1980,25045
65,Female,1990,30505
65,Female,2000,46152
65,Female,2010,58190
65,Female,2020,116787
70,Male,1960,6500
70,Male,1970,8110
70,Male,1980,15207
70,Male,1990,20513
70,Male,2000,31122
70,Male,2010,42887
70,Male,2020,80819
70,Female,1960,12600
70,Female,1970,10374
70,Female,1980,17546
70,Female,1990,24534
70,Female,2000,35826
70,Female,2010,49731
70,Female,2020,89189
75,Male,1970,3775
75,Male,1980,7750
75,Male,1990,13899
75,Male,2000,17604
75,Male,2010,28214
75,Male,2020,40773
75,Female,1970,6231
75,Female,1980,10570
75,Female,1990,18437
75,Female,2000,22040
75,Female,2010,36964
75,Female,2020,50217
80,Male,1970,1943
80,Male,1980,2835
80,Male,1990,7028
80,Male,2000,8872
80,Male,2010,15532
80,Male,2020,27886
80,Female,1970,4817
80,Female,1980,5070
80,Female,1990,10498
80,Female,2000,14004
80,Female,2010,24307
80,Female,2020,38627
85,Male,1980,1259
85,Male,1990,3176
85,Male,2000,4339
85,Male,2010,6446
85,Male,2020,13522
85,Female,1980,3274
85,Female,1990,6469
85,Female,2000,7753
85,Female,2010,12035
85,Female,2020,23064
90,Male,2000,1774
90,Male,2010,3176
90,Male,2020,6312
90,Female,2000,3657
90,Female,2010,7584
90,Female,2020,14563
