name,code,gdp_per_cap,life_exp,pop,continent
Afghanistan,AFG,496.6025042584997,62.941,37856121,Asia
Albania,ALB,5460.428237305918,79.467,2854191,Europe
Algeria,DZA,4468.453418836562,75.682,43294546,Africa
American Samoa,ASM,12886.135951721802,72.751,50209,Oceania
Andorra,AND,41257.80458464828,84.098,76474,Europe
Angola,AGO,2189.8557140761836,63.051,32375632,Africa
Antigua and Barbuda,ATG,18884.372968038304,77.168,91364,Americas
Argentina,ARG,9955.974786804276,76.847,44973465,Americas
Armenia,ARM,4597.228873995479,76.2219512195122,2962500,Asia
Aruba,ABW,31096.205073867608,76.019,109203,Americas
Australia,AUS,54972.70178854372,82.9,25334826,Oceania
Austria,AUT,49885.99473552041,81.89512195121951,8879920,Europe
Azerbaijan,AZE,4805.753717659173,73.29,10024283,Asia
"Bahamas, The",BHS,32979.540127953376,71.408,394675,Americas
Bahrain,BHR,27259.743859932696,80.471,1483756,Asia
Bangladesh,BGD,2129.7989695460574,72.625,164913055,Asia
Barbados,BRB,20583.726578641355,76.495,281207,Americas
Belarus,BLR,6837.768321367789,74.2268292682927,9419758,Europe
Belgium,BEL,46716.622746796435,81.99512195121952,11488980,Europe
Belize,BLZ,6190.047922784446,72.577,385829,Americas
Benin,BEN,1130.8213530497737,59.888,12726755,Africa
Bermuda,BMU,115798.04077557832,81.251,64107,Americas
Bhutan,BTN,3576.8798707787746,72.005,764824,Asia
Bolivia,BOL,3503.8960106181985,67.82,11671386,Americas
Bosnia and Herzegovina,BIH,6122.375345088199,77.394,3345533,Europe
Botswana,BWA,7172.089564800282,67.167,2332083,Africa
Brazil,BRA,9029.833267421753,75.809,207455459,Americas
Brunei Darussalam,BRN,30426.573028420233,75.049,442680,Asia
Bulgaria,BGR,9838.600589853835,75.11219512195122,6975761,Europe
Burkina Faso,BFA,764.8530777749462,60.184,20961952,Africa
Burundi,BDI,210.23649452153177,62.18,12255336,Africa
Cabo Verde,CPV,4380.781191640302,75.449,514104,Africa
Cambodia,KHM,2225.877054856862,70.127,16481304,Asia
Cameroon,CMR,1555.2266047647743,61.695,25506095,Africa
Canada,CAN,46352.869344521125,82.16365853658537,37618495,Americas
Cayman Islands,CYM,88254.29036770435,79.052,67327,Americas
Central African Republic,CAF,449.2284676024388,31.53,4944703,Africa
Chad,TCD,678.1420357239653,52.993,16685223,Africa
Chile,CHL,14495.716721686993,80.324,19197744,Americas
China,CHN,10143.860220616465,77.94,1407745000,Asia
Colombia,COL,6472.545449247049,76.793,49907985,Americas
Comoros,COM,1519.2638643606817,65.662,786578,Africa
"Congo, Dem. Rep.",COD,557.0441613359174,60.242,92947442,Africa
"Congo, Rep.",COG,2488.424667249158,63.152,5616661,Africa
Costa Rica,CRI,12884.685995198872,80.296,4999553,Americas
Cote d'Ivoire,CIV,2141.7683617011467,60.274,28193009,Africa
Croatia,HRV,15563.816739719914,78.22439024390245,3949390,Europe
Cuba,CUB,9232.261159351829,77.413,11202846,Americas
Curacao,CUW,19220.686695830263,76.492,157441,Americas
Cyprus,CYP,29703.052734375,81.454,1286671,Asia
Czechia,CZE,24062.719001334306,79.22926829268295,10671870,Europe
Denmark,DNK,59404.266324772296,81.45121951219514,5814422,Europe
Djibouti,DJI,2837.171033369172,64.381,1088709,Africa
Dominica,DMA,9009.090115454288,71.305,67880,Americas
Dominican Republic,DOM,8164.220809321173,73.112,10894043,Americas
Ecuador,ECU,6205.057594797608,77.286,17340021,Americas
"Egypt, Arab Rep.",EGY,2962.9889202300265,71.213,107553158,Africa
El Salvador,SLV,4320.116715346275,71.725,6222318,Americas
Equatorial Guinea,GNQ,6804.149230738878,62.297,1670177,Africa
Estonia,EST,24021.250141330624,78.64634146341466,1326898,Europe
Eswatini,SWZ,3894.3295159281765,59.85,1179874,Africa
Ethiopia,ETH,828.7089722972499,65.741,115737383,Africa
Faroe Islands,FRO,63064.634312736554,82.4439024390244,51795,Europe
Fiji,FJI,5950.828686355084,67.009,914899,Oceania
Finland,FIN,48358.180777370086,81.9829268292683,5521606,Europe
France,FRA,40408.28485747505,82.8268292682927,67382061,Europe
French Polynesia,PYF,21582.58920468011,83.195,279034,Oceania
Gabon,GAB,7441.178647228097,67.337,2267706,Africa
"Gambia, The",GMB,738.1867519874828,64.427,2456844,Africa
Georgia,GEO,4741.283271587601,74.165,3720161,Asia
Germany,DEU,47623.865607482854,81.29268292682927,83092962,Europe
Ghana,GHA,2186.189241118238,64.455,31258945,Africa
Greece,GRC,19335.360200296866,81.63902439024392,10721582,Europe
Greenland,GRL,53309.20359050652,71.94439024390245,56225,Americas
Grenada,GRD,10462.792915953347,74.971,115981,Americas
Guam,GUM,39274.943142489865,76.645,161808,Oceania
Guatemala,GTM,4511.997551576558,71.639,17103803,Americas
Guinea,GIN,1031.341464807319,59.379,13034346,Africa
Guinea-Bissau,GNB,807.3599039654928,62.161,1967696,Africa
Guyana,GUY,6405.824434445621,69.067,807665,Americas
